0,114403372390800,0,302644514039403
0,139529991891600,0,276383638926153
0,174329212720263,0,249316921575704
0,212573253289611,0,227479182804434
0,263335404341789,0,204909585551683
0,320838542602606,0,186985716980056
0,404624587093604,0,169053027763717
0,493390427784887,0,154649080322011
0,603320538731503,0,141640484837358
0,737743685238194,0,129957389804439
0,893119420716237,0,120212771844832
1,166807168941037,0,107748269428343
1,410189775006702,0,100140638489729
1,732473176456251,0,092592501600436
1,998155669347481,0,088297584854220
3,029973306978599,0,076299347056386
8,639922776149078,0,058480309293274
11,655479989839495,0,052678121103156
29,155288218866314,0,045682440527421
74,307180686284923,0,041274568323219
91,289271585070679,0,040253763342365
112,152433043001622,0,039326066623058
137,783641155944878,0,038552689203236
169,272580675188522,0,037761897368695
206,407306069768083,0,036874111049490
255,484484740977109,0,036812069950665
313,872660729216932,0,038736232295409
386,809226757832505,0,038962684436338
473,730563336519026,0,036971359429148
581,996486142532149,0,037615439846436
715,005397786929393,0,037404892329983
878,412036905742070,0,035669860921590
1079,163470610375498,0,035948166301045
1328,277514758573943,0,038283962636138
1628,790215996209554,0,040132282637062
2001,032349900853660,0,040445404972253
2458,346339525808617,0,043544648221651
3031,497952688895111,0,047249200309937
4309,542167816157416,0,045322250342774
5394,439929251147078,0,050191277201434
6383,851579204824702,0,049423235316375
