0,109041082423186,28,528258008529285
0,138283333683583,25,315654441008817
6,568099930882084,3,642911724634309
7,712814754445895,3,376102121254387
10,031991240306828,2,981499218976619
12,041339836986667,2,697290520747216
15,472596944164625,2,404225918602693
16,848611826901603,2,282527944051038
26,304256908575333,1,810112283960441
35,227863772526860,1,572075785790411
42,283796831056009,1,360285509839334
55,982263202315124,1,259321470717028
66,013975889587414,1,187795962455066
77,519156620454595,1,127481511519318
89,709652512202950,1,040741598052688
108,467180291265322,0,934284018672307
121,910877892291950,0,892107870911527
168,108145195630414,0,766009287351912
187,569127370760327,0,741602482581275
217,065845037948350,0,648876247115123
254,896951921088544,0,583358750727912
292,835194089998140,0,525984586054192
339,593642204615492,0,551724175398089
395,052712612319510,0,559574823597858
454,588511669606532,0,479848158060585
527,144361480498787,0,463694810342205
627,665961316657899,0,458753516378074
734,908251142336098,0,433107651302785
848,927069595420107,0,442577577427370
1006,023010685448867,0,431510940310223
1185,678150101861320,0,388589237127346
1352,240498285482545,0,395681908233019
1697,849662856036048,0,339398059364807
1992,787304806816564,0,357914088128806
2420,042694234090959,0,364954298040251
2776,178298937031741,0,327238371187806
3356,653644718332544,0,305633093029673
3912,984910309594852,0,323796253578453
4907,099712037468635,0,315532068541912
6147,358208070663750,0,325422193585191
7018,248063552107851,0,337410054387082
139,747625068544551,0,794328234724282
29,621866125582017,1,671386627320329
37,808785993625783,1,463472666239453
49,106962686940754,1,315923883384631
22,412590255424341,1,908838697454804
19,838183016141308,2,013011026745129
18,502133135000168,2,122868422146197
13,285911958194850,2,489739136887150
10,778320603920786,2,768902684195714
8,897763288970737,3,038731358988145
8,014209876730508,3,162277660168383
5,855989681433035,3,808633918385852
5,367229788640573,4,016485041281367
4,834260542323462,4,179784067083140
4,508685704258843,4,292322132593281
4,132376171399627,4,526569895493764
3,657713537145776,4,710607541983278
3,411376071029260,4,967682673934074
3,181628790720482,5,169654729800857
2,865691078822998,5,451781750563884
2,626511206477477,5,673435918225606
2,449622527591167,5,904101923170930
2,206373491551226,6,144146161448638
2,022222403544730,6,479454754045664
1,853441162639749,6,742891226032317
1,698746951544887,7,017038286703833
1,556964021060725,7,399983804321436
1,427014753829582,7,700846407760653
1,307911473933717,8,013941241504938
1,219827047659878,8,339765633758345
1,118016325737006,8,678837132695978
1,006996611291502,9,152473108773897
0,922949407906273,9,524587016078002
0,845917056723792,10,044378665480446
0,761916968424412,10,452754953204348
0,686258140982961,11,023200131431391
0,596935390659787,11,780232071038244
0,547113226787478,12,423122544736692
0,484269430702449,13,276295892211275
0,428644145362566,14,000832056153952
0,366409471893066,15,162444729226705
0,318717940354990,15,989914953549720
0,277233896218088,17,316556668620851
0,241149378433659,18,505792673216160
0,209761589445735,19,776700935275247
0,185667464302751,21,134890398366487
0,161501151997447,22,888397363686817
0,120084025610675,26,489692876105295
